brand,brand_tier,category,product_name,url,price,mrp,discount_pct,rating,review_count,size,tags,scraped_at
Devrishi Ayurveda,Value / Mass Wellness,Ayurvedic Juices,"Devrishi Amla Swaras | Sugar-Free Ayurvedic Amla Juice for Immunity, Digestion & Wellness – 1000 ml",https://devrishiayurveda.com/product/devrishi-amla-swaras-sugar-free-ayurvedic-amla-juice-for-immunity-digestion-wellness-1000-ml/,260.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,"Devrishi Amladi Syrup – Ayurvedic Digestive Tonic for Acidity, Gas, Indigestion & Gut Health – 200ml",https://devrishiayurveda.com/product/devrishi-amladi-syrup-ayurvedic-digestive-tonic-for-acidity-gas-indigestion-gut-health-200ml/,160.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Brain Wellness,"Devrishi Ardhangvat Har Vati– For Nerve Strength, Paralysis, Brain & Body Recovery – 10 Tablets",https://devrishiayurveda.com/product/devrishi-ardhangvat-har-vati-for-nerve-strength-paralysis-brain-body-recovery-10-tablets/,810.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,"Devrishi Arshodh Har Syrup – For Piles, Fissures, Constipation & Digestive Health – 200ml",https://devrishiayurveda.com/product/devrishi-arshodh-har-syrup-ayurvedic-relief-for-piles-fissures-constipation-digestive-health-200ml/,170.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,"Devrishi Arshodh Har Tablet – For Piles, Fissure, Constipation & Digestive Health – 30 tabs",https://devrishiayurveda.com/product/devrishi-arshodh-har-tablet-for-piles-fissure-constipation-digestive-health-30-tabs/,170.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Mens Wellness,"Devrishi Ashwa Tila – Ayurvedic Massage Oil for Male Strength, Stamina & Vitality – 30ml",https://devrishiayurveda.com/product/devrishi-ashwa-tila-ayurvedic-massage-oil-for-male-strength-stamina-vitality-30ml/,240.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Men Women,"Devrishi Chandana Amrit Syrup – Syrup for Pitta Disorders, Burning Urination & Mental Calmness – 450ml",https://devrishiayurveda.com/product/devrishi-chandana-amrit-syrup-syrup-for-pitta-disorders-burning-urination-mental-calmness-450ml/,350.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Ayurvedic Juices,Devrishi Fit & Fine Swaras | Sugar-Free Ayurvedic Juice for Weight Management & Metabolism | 1000 ml,https://devrishiayurveda.com/product/devrishi-fit-fine-swaras-sugar-free-ayurvedic-juice-for-weight-management-metabolism-1000-ml/,360.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,"Devrishi Gaso Amrit Syrup – Ayurvedic Solution for Gas, Acidity, Indigestion & Bloating – 200ml",https://devrishiayurveda.com/product/devrishi-gaso-amrit-syrup-ayurvedic-solution-for-gas-acidity-indigestion-bloating-200ml/,170.0,,,,,,,2026-07-28 01:16:14
Devrishi Ayurveda,Value / Mass Wellness,Digestive Care,"Devrishi Giloy Papita Swaras | Sugar-Free Ayurvedic Juice for Immunity, Digestion & Wellness –  500 ml",https://devrishiayurveda.com/product/devrishi-giloy-papita-swaras-sugar-free-ayurvedic-juice-for-immunity-digestion-wellness-500-ml/,200.0,,,,,,,2026-07-28 01:16:14
